title,image_url,link_url,link_type,platform_name
SUPER SPEED SNAKE CHASES CURSOR,http://www.asahi-net.or.jp/~cs8k-cyu/img/super_speed_snake_chases_cursor.jpg,http://wa.zozuar.org/code.php?c=xUSx,detail,flash
p3j2,http://www.asahi-net.or.jp/~cs8k-cyu/img/p3j2.jpg,http://wa.zozuar.org/code.php?c=yzl9,detail,flash
SQUARE RAILS,http://www.asahi-net.or.jp/~cs8k-cyu/img/square_rails.jpg,http://wa.zozuar.org/code.php?c=5Vjk,detail,flash
TWIN ROCKETS,undefined,http://wa.zozuar.org/code.php?c=8tQu,detail,flash
AmidaDaMida,http://www.asahi-net.or.jp/~cs8k-cyu/img/amida_da_mida.jpg,http://wa.zozuar.org/code.php?c=k0GL,detail,flash
MIRROR MARBLE,http://www.asahi-net.or.jp/~cs8k-cyu/img/mirror_marble.jpg,http://wa.zozuar.org/code.php?c=kDtv,detail,flash
BLOCKS FLYING AT ME,http://www.asahi-net.or.jp/~cs8k-cyu/img/blocks_flying_at_me.jpg,http://wa.zozuar.org/code.php?c=n8WZ,detail,flash
LASER WINDER,http://www.asahi-net.or.jp/~cs8k-cyu/img/laser_winder.jpg,http://wa.zozuar.org/code.php?c=pYeI,detail,flash
TOWER TOP,undefined,http://wa.zozuar.org/code.php?c=riLl,detail,flash
LOCK ON TO ALL OF THEM,http://www.asahi-net.or.jp/~cs8k-cyu/img/lock_on_to_all_of_them.jpg,http://wa.zozuar.org/code.php?c=rqvL,detail,flash
ALPINE ZONE,undefined,http://wa.zozuar.org/code.php?c=sqWq,detail,flash
DUAL PISTOLS RG,http://www.asahi-net.or.jp/~cs8k-cyu/img/dual_pistols_rg.jpg,http://wa.zozuar.org/code.php?c=ilHX,detail,flash
SHEEP RUNNING,undefined,http://wa.zozuar.org/code.php?c=nony,detail,flash
exvert,http://www.asahi-net.or.jp/~cs8k-cyu/img/exvert.jpg,http://wa.zozuar.org/code.php?c=ouWk,detail,flash
RING WALK,http://www.asahi-net.or.jp/~cs8k-cyu/img/ring_walk.jpg,http://wa.zozuar.org/code.php?c=wRyA,detail,flash
formula,http://www.asahi-net.or.jp/~cs8k-cyu/img/formula.jpg,http://wa.zozuar.org/code.php?c=yztM,detail,flash
pwing,http://www.asahi-net.or.jp/~cs8k-cyu/img/pwing.jpg,http://wa.zozuar.org/code.php?c=zKJB,detail,flash
downward,http://www.asahi-net.or.jp/~cs8k-cyu/img/downward.jpg,http://wa.zozuar.org/code.php?c=bumo,detail,flash
bacrush,http://www.asahi-net.or.jp/~cs8k-cyu/img/bacrush.jpg,http://wa.zozuar.org/code.php?c=xzWl,detail,flash
TOSSED HUMANS SPLIT OVER,http://www.asahi-net.or.jp/~cs8k-cyu/img/tossed_humans_split_over.jpg,http://wa.zozuar.org/code.php?c=d8Rm,detail,flash
ProceduralAutomaton,http://www.asahi-net.or.jp/~cs8k-cyu/img/procedural_automaton.jpg,http://wa.zozuar.org/code.php?c=s8ma,detail,flash
dimcom,http://www.asahi-net.or.jp/~cs8k-cyu/img/dimcom.jpg,http://wa.zozuar.org/code.php?c=fmrf,detail,flash
ReflectLaser,http://www.asahi-net.or.jp/~cs8k-cyu/img/reflect_laser.jpg,http://wa.zozuar.org/code.php?c=kMc8,detail,flash
DIE IN EXTENDING,http://www.asahi-net.or.jp/~cs8k-cyu/img/die_in_extending.jpg,http://wa.zozuar.org/code.php?c=i2Cs,detail,flash
BulletML,http://www.asahi-net.or.jp/~cs8k-cyu/bulletml/bulletml1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/bulletml/index_e.html,detail,misc
Bulletsmorph,http://www.asahi-net.or.jp/~cs8k-cyu/bulletml/bulletsmorph/bm1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/bulletml/bulletsmorph/index_e.html,detail,misc
STGL,http://www.asahi-net.or.jp/~cs8k-cyu/blog/images/stgl-demo.png,https://github.com/abagames/stgldemo,detail,misc
PutiPati,http://www.asahi-net.or.jp/~cs8k-cyu/ww/putipati1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/ww/putipati.html,detail,wonder_witch
Nametry,http://www.asahi-net.or.jp/~cs8k-cyu/ww/nametry1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/ww/nametry.html,detail,wonder_witch
